split,model,risk_delta,empty_probability_threshold,load_assumption,load_assumption_description,gross_recommended_estimated_opportunity_kwh,safe_estimated_opportunity_kwh,conflict_estimated_kwh,available_actual_empty_estimated_opportunity_kwh,energy_formula,counterfactual_status
test_daily,Transformer,0.2,0.85,hvac_only_conservative,30% HVAC south controllable,86.42019653320312,83.12590026855469,3.2942943572998047,622.3697509765625,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,36.917476654052734,36.917476654052734,0.0,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,36.917476654052734,36.917476654052734,0.0,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,526.59716796875,456.1536560058594,70.44352722167969,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.05,0.95,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,197.72715759277344,182.8551025390625,14.872047424316406,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.1,0.95,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,197.72715759277344,182.8551025390625,14.872047424316406,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,LightGBM,0.2,0.875,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,379.91851806640625,341.6155700683594,38.30298614501953,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.05,0.925,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,155.14015197753906,141.3740234375,13.766136169433594,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.1,0.925,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,155.14015197753906,141.3740234375,13.766136169433594,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Random forest,0.2,0.85,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,301.5277099609375,271.45245361328125,30.075246810913086,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.05,0.925,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,79.16112518310547,40.474430084228516,38.68669509887695,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.1,0.875,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,165.98052978515625,65.67334747314453,100.30718231201172,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,DLinear,0.2,0.8,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,305.2867126464844,88.97607421875,216.31065368652344,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.05,0.9,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,36.767391204833984,34.6713752746582,2.096015453338623,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.1,0.9,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,36.767391204833984,34.6713752746582,2.096015453338623,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Transformer,0.2,0.85,hvac_lighting_plug_conservative,30% HVAC + 80% lighting + 10% plug/MELs south controllable,104.17549133300781,98.63394165039062,5.541544437408447,842.81787109375,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.05,0.95,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,35.16065216064453,35.16065216064453,0.0,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.1,0.95,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,35.16065216064453,35.16065216064453,0.0,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
test_daily,Historical average,0.2,0.725,total_south_30pct,30% of total south electricity; component meters not added to avoid double counting,512.5411376953125,445.4169921875,67.12417602539062,817.4334716796875,sum over intervals of P_t_controllable * 0.25 hour,estimated opportunity only; no counterfactual simulator
