split,model,policy,positive_class,empty_probability_threshold,minimum_empty_window_hours,predicted_empty_window_count,true_empty_window_count,safe_predicted_window_count,conflict_predicted_window_count,window_level_precision,window_level_recall,window_level_occupancy_conflict_rate,average_detected_window_duration_hours,double_counting_policy
validation_daily,Historical average,threshold_sweep,empty,0.475,2.0,39,38,13,26,0.3333333333333333,0.8947368421052632,0.6666666666666666,7.3076923076923075,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.5,2.0,39,38,14,25,0.358974358974359,0.8947368421052632,0.6410256410256411,6.8076923076923075,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.525,2.0,45,38,17,28,0.37777777777777777,0.868421052631579,0.6222222222222222,5.388888888888889,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.55,2.0,45,38,17,28,0.37777777777777777,0.868421052631579,0.6222222222222222,5.222222222222222,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.575,2.0,45,38,18,27,0.4,0.868421052631579,0.6,4.95,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.6,2.0,39,38,18,21,0.46153846153846156,0.868421052631579,0.5384615384615384,4.980769230769231,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.625,2.0,39,38,18,21,0.46153846153846156,0.868421052631579,0.5384615384615384,4.980769230769231,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.65,2.0,39,38,18,21,0.46153846153846156,0.868421052631579,0.5384615384615384,4.948717948717949,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.675,2.0,49,38,24,25,0.4897959183673469,0.868421052631579,0.5102040816326531,3.739795918367347,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.7,2.0,44,38,24,20,0.5454545454545454,0.868421052631579,0.45454545454545453,3.8806818181818183,non-overlapping daily forecast anchors and disjoint run extraction
validation_daily,Historical average,threshold_sweep,empty,0.725,2.0,39,38,25,14,0.6410256410256411,0.868421052631579,0.358974358974359,3.628205128205128,non-overlapping daily forecast anchors and disjoint run extraction
