date_local,occ_count_mean,occ_count_max,occupied,empty,wifi_south_total,wifi_south_mean,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,temp_interior_mean,mels_S,lig_S,hvac_S,ele_south_total,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,is_weekend,is_business_hour,is_holiday
2019-02-18 14:00:00-08:00,3.7333333333333334,5.0,1.0,0.0,65.0,32.5,11.36,10.78,-7.15,26.88,592.2,23.235133333333334,2.2,0.88,23.48888889,26.568888889999997,-0.5000000000000001,-0.8660254037844386,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 14:15:00-08:00,4.066666666666666,5.0,1.0,0.0,65.0,32.5,11.25,10.73,-7.38,26.61,570.2,23.274733333333334,2.2,2.758,23.47368421,28.43168421,-0.5555702330196023,-0.8314696123025452,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 14:30:00-08:00,5.533333333333333,6.0,1.0,0.0,65.0,32.5,11.37,10.96,-7.3,26.56,543.8,23.343466666666664,2.2,3.88,23.56842105,29.648421050000003,-0.6087614290087207,-0.7933533402912352,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 14:45:00-08:00,5.0,5.0,1.0,0.0,65.0,32.5,11.2,10.81,-7.79,25.85,516.5,23.395599999999998,2.2,2.1,24.7,29.0,-0.6593458151000688,-0.7518398074789774,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 15:00:00-08:00,5.0,5.0,1.0,0.0,65.0,32.5,11.5,11.03,-7.56,25.8,485.8,23.4164,2.2,1.575,25.62166667,29.396666670000002,-0.7071067811865475,-0.7071067811865477,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 15:15:00-08:00,4.933333333333334,5.0,1.0,0.0,65.0,32.5,11.72,11.16,-7.49,25.57,451.6,23.4748,2.2,1.6,23.25555556,27.055555560000002,-0.7518398074789773,-0.6593458151000691,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 15:30:00-08:00,5.0,5.0,1.0,0.0,65.0,32.5,11.39,10.91,-8.01,25.1,414.5,23.493533333333332,2.2,4.145,25.76315789,32.10815789,-0.7933533402912349,-0.6087614290087209,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 15:45:00-08:00,5.2,6.0,1.0,0.0,65.0,32.5,11.86,10.94,-7.84,24.64,374.9,23.524733333333334,2.2,4.095,24.6,30.895000000000003,-0.8314696123025448,-0.555570233019603,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 16:00:00-08:00,4.733333333333333,5.0,1.0,0.0,65.0,32.5,11.83,10.87,-7.74,24.9,333.7,23.58313333333333,2.2,2.925,25.16,30.285,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 16:15:00-08:00,4.533333333333333,5.0,1.0,0.0,65.0,32.5,12.35,10.98,-7.28,24.91,292.1,23.604066666666668,2.2,2.12,24.51111111,28.831111110000002,-0.8968727415326883,-0.44228869021900136,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 16:30:00-08:00,5.0,5.0,1.0,0.0,65.0,32.5,12.82,10.78,-7.75,23.29,247.7,23.6269,2.2,3.62,25.20555556,31.02555556,-0.9238795325112868,-0.3826834323650895,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 16:45:00-08:00,4.066666666666666,5.0,1.0,0.0,65.0,32.5,11.53,10.73,-7.32,26.24,203.0,23.6622,2.1,3.776,26.655,32.531,-0.9469301294951056,-0.3214394653031618,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 17:00:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,11.53,10.42,-7.41,26.05,159.3,23.6956,2.0,4.093333333,28.76111111,34.854444443000006,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
2019-02-18 17:15:00-08:00,4.0,4.0,1.0,0.0,65.0,32.5,12.16,10.14,-7.2,25.39,113.8,23.70813333333333,2.0,2.838,27.62777778,32.465777779999996,-0.9807852804032303,-0.19509032201612866,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0
