model,policy,empty_probability_threshold,stable_empty_min_steps,recommendation_rate,occupancy_conflict_rate,standard_fpr_occupied_denominator,missed_opportunity_rate,empty_window_precision,empty_window_recall,recommendation_count,occupancy_conflict_count,safe_shiftable_load_opportunity_kwh,gross_shiftable_load_opportunity_kwh,raw_recommended_controllable_kwh,conflict_controllable_kwh,available_empty_controllable_kwh,safe_energy_capture_rate,safe_recommended_intervals,split,daily_anchor_count,pareto_frontier
Historical average,test_daily_threshold_sweep,0.425,4,0.3454457364341085,0.3022440392706872,0.1445823549144582,0.1325196163905841,0.6977559607293128,0.8674803836094158,1426,431,1957.777099609375,2821.494873046875,2821.494873046875,863.7176513671875,2296.60400390625,0.8524661179199502,995,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.4,4,0.3645833333333333,0.335548172757475,0.1694062395169406,0.1281604184829991,0.6644518272425249,0.8718395815170009,1505,505,1966.3563232421875,3014.81689453125,3014.81689453125,1048.4605712890625,2296.60400390625,0.8562017308589768,1000,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.375,4,0.3645833333333333,0.335548172757475,0.1694062395169406,0.1281604184829991,0.6644518272425249,0.8718395815170009,1505,505,1966.3563232421875,3014.81689453125,3014.81689453125,1048.4605712890625,2296.60400390625,0.8562017308589768,1000,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.35,4,0.3929263565891472,0.3606658446362515,0.1962428715196242,0.0959023539668701,0.6393341553637485,0.90409764603313,1622,585,2038.0372314453125,3289.6748046875,3289.6748046875,1251.637939453125,2296.60400390625,0.8874134278172701,1037,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.325,4,0.4263565891472868,0.3909090909090909,0.2307950352230795,0.065387968613775,0.6090909090909091,0.934612031386225,1760,688,2076.23291015625,3529.2509765625,3529.2509765625,1453.0181884765625,2296.60400390625,0.9040448012042236,1072,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.3,4,0.4263565891472868,0.3909090909090909,0.2307950352230795,0.065387968613775,0.6090909090909091,0.934612031386225,1760,688,2076.23291015625,3529.2509765625,3529.2509765625,1453.0181884765625,2296.60400390625,0.9040448012042236,1072,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.275,4,0.4321705426356589,0.3968609865470852,0.2375041932237504,0.061900610287707,0.6031390134529148,0.9380993897122928,1784,708,2076.758544921875,3534.377197265625,3534.377197265625,1457.6187744140625,2296.60400390625,0.9042736759970618,1076,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.25,4,0.4350775193798449,0.4003340757238307,0.2411942301241194,0.06102877070619,0.5996659242761693,0.93897122929381,1796,719,2076.78857421875,3557.18994140625,3557.18994140625,1480.4013671875,2296.60400390625,0.9042867515193652,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.225,4,0.4350775193798449,0.4003340757238307,0.2411942301241194,0.06102877070619,0.5996659242761693,0.93897122929381,1796,719,2076.78857421875,3557.18994140625,3557.18994140625,1480.4013671875,2296.60400390625,0.9042867515193652,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.2,4,0.4367732558139535,0.4026622296173044,0.2435424354243542,0.06102877070619,0.5973377703826955,0.93897122929381,1803,726,2076.78857421875,3580.26171875,3580.26171875,1503.47314453125,2296.60400390625,0.9042867515193652,1077,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.175,4,0.4629360465116279,0.4322344322344322,0.2770882254277088,0.054054054054054,0.5677655677655677,0.945945945945946,1911,826,2097.78271484375,3925.80615234375,3925.80615234375,1828.0233154296875,2296.60400390625,0.9134281361852856,1085,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.15,4,0.4643895348837209,0.4329681794470527,0.278430057027843,0.05231037489102,0.5670318205529473,0.94768962510898,1917,830,2103.946044921875,3939.14599609375,3939.14599609375,1835.1995849609375,2296.60400390625,0.91611180740925,1087,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.125,4,0.5021802325581395,0.4741919922817173,0.3297551157329755,0.049694856146469,0.5258080077182827,0.9503051438535308,2073,983,2107.672119140625,4438.916015625,4438.916015625,2331.244384765625,2296.60400390625,0.917734235225457,1090,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.1,4,0.5893895348837209,0.5437731196054254,0.4438108017443811,0.032258064516129,0.4562268803945746,0.967741935483871,2433,1323,2151.33154296875,5657.486328125,5657.486328125,3506.154541015625,2296.60400390625,0.9367446626887314,1110,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.075,4,0.6010174418604651,0.550987505038291,0.458570949345857,0.028770706190061,0.449012494961709,0.9712292938099388,2481,1367,2162.72021484375,5854.96826171875,5854.96826171875,3692.248291015625,2296.60400390625,0.9417035810985352,1114,test_daily,43,True
Historical average,test_daily_threshold_sweep,0.05,4,0.6763565891472868,0.6006446991404012,0.5625628983562563,0.027898866608544,0.3993553008595988,0.972101133391456,2792,1677,2166.224853515625,6906.5439453125,6906.5439453125,4740.3193359375,2296.60400390625,0.9432295902258876,1115,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.95,4,0.0641957364341085,0.0415094339622641,0.003690036900369,0.7785527462946817,0.958490566037736,0.2214472537053182,265,11,493.9231567382813,537.878173828125,537.878173828125,43.95508575439453,2296.60400390625,0.2150667489467826,254,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.925,4,0.0913275193798449,0.053050397877984,0.0067091580006709,0.6887532693984307,0.946949602122016,0.3112467306015693,377,20,668.3232421875,742.1085205078125,742.1085205078125,73.78524780273438,2296.60400390625,0.2910049974008413,357,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.9,4,0.1114341085271317,0.0739130434782608,0.0114055686011405,0.6285963382737576,0.9260869565217392,0.3714036617262424,460,34,801.158203125,888.9291381835938,888.9291381835938,87.77088165283203,2296.60400390625,0.3488447297672238,426,test_daily,43,True
LightGBM,test_daily_threshold_sweep,0.875,4,0.1247577519379845,0.0854368932038835,0.014760147601476,0.5893635571054926,0.9145631067961164,0.4106364428945074,515,44,918.45703125,1026.34814453125,1026.34814453125,107.89096069335938,2296.60400390625,0.3999196333751112,471,test_daily,43,True
