model,threshold,test_occupancy_conflict_rate,recommendation_rate,empty_recall,safe_shiftable_load_kwh,kwh_per_day
LightGBM,0.125,0.43753240020736134,0.467296511627907,0.9459459459459459,2189.7703903397496,50.924892798598826
LightGBM,0.15,0.4037057832678271,0.4314437984496124,0.925893635571055,2124.66366460175,49.410782897715116
LightGBM,0.175,0.3851113716295428,0.4132751937984496,0.9145597210113339,2083.403927761,48.45125413397675
LightGBM,0.2,0.3667692307692308,0.3936531007751938,0.8971229293809939,2031.8919111277498,47.25330025878488
LightGBM,0.225,0.35338822039265355,0.38250968992248063,0.8901482127288579,2021.5382137594997,47.01251659905813
LightGBM,0.25,0.3395225464190981,0.3653100775193798,0.8683522231909329,1979.2372645047499,46.02877359313372
LightGBM,0.275,0.3229166666666667,0.3488372093023256,0.8500435919790759,1923.780911115,44.73909095616279
LightGBM,0.3,0.2972181551976574,0.33091085271317827,0.8369659982563208,1899.4710925139998,44.17374633753488
LightGBM,0.325,0.28817365269461076,0.3236434108527132,0.8291194420226679,1889.2500516629998,43.93604771309302
LightGBM,0.35,0.2785493827160494,0.313953488372093,0.8151700087183958,1867.0583630675,43.41996193180233
LightGBM,0.375,0.27137254901960783,0.30886627906976744,0.8099389712292938,1853.43875195575,43.103226789668604
LightGBM,0.4,0.2608346709470305,0.3018410852713178,0.8029642545771578,1825.94949701725,42.46394179109884
LightGBM,0.425,0.24916943521594684,0.2916666666666667,0.7881429816913688,1801.2275813815,41.8890135205
LightGBM,0.45,0.24179620034542315,0.2805232558139535,0.7654751525719268,1747.66480148575,40.64336747641279
LightGBM,0.475,0.2422360248447205,0.27301356589147285,0.7445510026155188,1700.39624171375,39.544098644505816
LightGBM,0.5,0.23710407239819004,0.26768410852713176,0.7349607672188317,1682.81627654175,39.13526224515698
LightGBM,0.525,0.23485554520037277,0.2599321705426357,0.7157802964254577,1656.7502197935,38.52907487891861
LightGBM,0.55,0.22028985507246376,0.2507267441860465,0.7035745422842197,1631.8374127735,37.949707273802325
LightGBM,0.575,0.211,0.24224806201550386,0.6878814298169137,1615.49094055075,37.56955675699419
LightGBM,0.6,0.19754350051177072,0.2366763565891473,0.6835222319093287,1615.07955166175,37.559989573529066
LightGBM,0.625,0.17558886509635974,0.22625968992248063,0.6713164777680907,1592.78997825125,37.04162740119186
LightGBM,0.65,0.16849015317286653,0.22141472868217055,0.6625980819529207,1571.4501281050002,36.54535181639535
LightGBM,0.675,0.16592920353982302,0.2189922480620155,0.6573670444638187,1565.7467947712503,36.41271615747094
LightGBM,0.7,0.15578465063001146,0.21148255813953487,0.6425457715780296,1545.1188098637501,35.932995578226745
LightGBM,0.725,0.14563106796116504,0.1996124031007752,0.6137750653879687,1475.67883231125,34.318112379331396
LightGBM,0.75,0.14518147684605756,0.1935562015503876,0.5954664341761116,1416.30106669675,32.93723410922674
LightGBM,0.775,0.13986928104575164,0.18531976744186046,0.5736704446381866,1360.5999923530003,31.641860287279076
LightGBM,0.8,0.13908205841446453,0.1741763565891473,0.5396687009590235,1249.82708812,29.06574623534884
LightGBM,0.825,0.13122171945701358,0.16061046511627908,0.5021795989537925,1161.9049634622502,27.021045661912794
LightGBM,0.85,0.11282051282051282,0.14171511627906977,0.4524847428073234,1010.2861294290001,23.4950262657907
LightGBM,0.875,0.0854368932038835,0.1247577519379845,0.4106364428945074,918.45705870275,21.359466481459304
LightGBM,0.9,0.07391304347826087,0.11143410852713179,0.3714036617262424,801.1582461417499,18.63158711957558
LightGBM,0.925,0.05305039787798409,0.09132751937984496,0.3112467306015693,668.32325824425,15.542401354517443
LightGBM,0.95,0.04150943396226415,0.06419573643410853,0.22144725370531823,493.9231551775,11.486585004127907
Random forest,0.05,0.6408163265306123,0.7715600775193798,0.997384481255449,2281.08697565125,53.04853431747094
Random forest,0.075,0.6046105483758295,0.6935562015503876,0.986922406277245,2214.79408800875,51.506839256017436
Random forest,0.1,0.5563018569735283,0.6131298449612403,0.979075850043592,2200.62701490875,51.17737243973837
Random forest,0.125,0.513986013986014,0.5542635658914729,0.969485614646905,2174.562176457,50.57121340597675
Random forest,0.15,0.4739583333333333,0.5116279069767442,0.9686137750653879,2168.981584352,50.44143219423256
Random forest,0.175,0.45615763546798027,0.49176356589147285,0.962510897994769,2128.8631632995,49.508445658127904
Random forest,0.2,0.44767150726089133,0.48376937984496127,0.9616390584132519,2127.68042520425,49.480940121029064
Random forest,0.225,0.43115007735946365,0.469718992248062,0.9616390584132519,2127.68042520425,49.480940121029064
Random forest,0.25,0.4095544820182501,0.45130813953488375,0.9590235396687009,2121.93443105275,49.34731235006395
Random forest,0.275,0.3729106628242075,0.42030038759689925,0.948561464690497,2070.931693802,48.161202181441865
Random forest,0.3,0.34774665042630937,0.39777131782945735,0.9337401918047079,2051.81959579675,47.71673478597093
Random forest,0.325,0.3185088293001962,0.3703972868217054,0.9084568439407149,2023.21515500625,47.05151523270349
Random forest,0.35,0.299039780521262,0.35319767441860467,0.8910200523103748,1976.4191293054996,45.963235565244176
Random forest,0.375,0.28885734563520227,0.34132751937984496,0.8735832606800349,1961.0683983107501,45.606241821180234
Random forest,0.4,0.2805232558139535,0.3333333333333333,0.8631211857018308,1953.5517316439998,45.431435619627905
Random forest,0.425,0.26521412471825695,0.3224321705426357,0.8526591107236269,1932.74307813475,44.947513444994186
Random forest,0.45,0.2617960426179604,0.3183139534883721,0.8456843940714909,1915.3275285977497,44.54250066506395
Random forest,0.475,0.2618492618492618,0.3117732558139535,0.8282476024411508,1852.2753185217498,43.07617019818023
Random forest,0.5,0.26034063260340634,0.29869186046511625,0.7951176983435048,1780.1919134417499,41.39981194050581
Random forest,0.525,0.2548197820620285,0.28900193798449614,0.7750653879686138,1703.41723731725,39.61435435621512
Random forest,0.55,0.25583405358686256,0.280281007751938,0.7506538796861377,1664.6397270382502,38.71255179158721
Random forest,0.575,0.2615803814713896,0.26671511627906974,0.7088055797733217,1587.0481460535002,36.90809641984884
Random forest,0.6,0.26540284360189575,0.2555717054263566,0.6756756756756757,1543.8870556685,35.90435013182558
Random forest,0.625,0.2485089463220676,0.2437015503875969,0.6591107236268526,1504.34574262125,34.98478471212209
Random forest,0.65,0.24844074844074845,0.23304263565891473,0.6303400174367916,1468.4326430762499,34.14959635061046
Random forest,0.675,0.23974082073434125,0.2243217054263566,0.6137750653879687,1436.5211257894998,33.407468041616276
Random forest,0.7,0.2305084745762712,0.21438953488372092,0.5937227550130776,1366.8803532082502,31.78791519088954
Random forest,0.725,0.2020330368487929,0.19064922480620156,0.5475152571926766,1235.90416309125,28.74195728119186
Random forest,0.75,0.1767180925666199,0.17272286821705427,0.5117698343504795,1122.8116224720002,26.11189819702326
Random forest,0.775,0.16282642089093702,0.15770348837209303,0.47515257192676547,1028.9088683915002,23.92811321840698
Random forest,0.8,0.13550600343053174,0.14123062015503876,0.43940714908456846,980.04009646325,22.79163015030814
Random forest,0.825,0.11612903225806452,0.11264534883720931,0.3583260680034874,838.13926282125,19.491610763284882
Random forest,0.85,0.06976744186046512,0.09375,0.31386224934612034,705.616376584,16.409683176372095
Random forest,0.875,0.05167173252279635,0.07969961240310078,0.27201394943330426,636.5118249620001,14.80260058051163
Random forest,0.9,0.04814814814814815,0.06540697674418605,0.22406277244986922,541.93211836875,12.603072520203488
Random forest,0.925,0.05319148936170213,0.045542635658914726,0.15518744551002617,359.54058390725004,8.361408928075582
Random forest,0.95,0.0,0.012596899224806201,0.045335658238884045,113.57855710800001,2.6413617932093025
Transformer,0.05,0.5912855599567879,0.6727228682170543,0.9895379250217959,2250.532439831,52.337963717
Transformer,0.075,0.5510204081632653,0.6053779069767442,0.978204010462075,2230.62158835125,51.874920659331394
Transformer,0.1,0.5126637554585153,0.5547480620155039,0.972972972972973,2216.771843286,51.5528335647907
Transformer,0.125,0.4810126582278481,0.5167151162790697,0.96512641673932,2201.5846247199997,51.19964243534883
Transformer,0.15,0.4681774349083896,0.502422480620155,0.9616390584132519,2184.88063736175,50.811177613063954
Transformer,0.175,0.4589276930644368,0.49249031007751937,0.9590235396687009,2169.94565370175,50.463852411668604
Transformer,0.2,0.4457953394123607,0.47819767441860467,0.953792502179599,2149.774381771,49.994753064441866
Transformer,0.225,0.4230565838180857,0.4580910852713178,0.951176983435048,2139.5394037002497,49.75673031861046
Transformer,0.25,0.40852974186307517,0.4316860465116279,0.918918918918919,2085.2818866625003,48.494927596802334
Transformer,0.275,0.38788968824940045,0.40406976744186046,0.8901482127288579,2007.03940623225,46.675335028656974
Transformer,0.3,0.37278481012658227,0.38275193798449614,0.8639930252833479,1947.1649104875,45.28290489505814
Transformer,0.325,0.356953642384106,0.36579457364341084,0.8465562336530078,1895.9888691774997,44.092764399476735
Transformer,0.35,0.3433356594556874,0.34714147286821706,0.8204010462074979,1797.93460843,41.81243275418605
Transformer,0.375,0.3328424153166421,0.32897286821705424,0.7898866608544028,1699.577501661,39.525058178162794
Transformer,0.4,0.322706065318818,0.311531007751938,0.7593722755013078,1610.3072977534998,37.4490069245
Transformer,0.425,0.3160493827160494,0.29433139534883723,0.7244986922406277,1500.6232561172499,34.898215258540695
Transformer,0.45,0.3068181818181818,0.2771317829457364,0.6913687881429816,1411.0173432255,32.81435681919768
Transformer,0.475,0.2972195589645254,0.25266472868217055,0.6390584132519617,1283.0770891365,29.839002072941863
Transformer,0.5,0.2817796610169492,0.22868217054263565,0.5911072362685266,1165.5757626412499,27.10641308468023
Transformer,0.525,0.2715617715617716,0.20784883720930233,0.5448997384481256,1042.34404248575,24.24055912757558
Transformer,0.55,0.2613784135240572,0.18628875968992248,0.4952048823016565,964.3891084175,22.427653684127907
Transformer,0.575,0.23809523809523808,0.16787790697674418,0.46033129904097647,916.7953209220001,21.3208214167907
Transformer,0.6,0.23219814241486067,0.1564922480620155,0.43243243243243246,867.186088605,20.167118339651164
Transformer,0.625,0.2318840579710145,0.1504360465116279,0.41586748038360943,844.9521872135,19.65005086543023
Transformer,0.65,0.22945205479452055,0.14147286821705427,0.3923278116826504,798.8088202517499,18.576949308180232
Transformer,0.675,0.22324723247232472,0.1312984496124031,0.36704446381865735,771.255405595,17.936172223139533
Transformer,0.7,0.2101010101010101,0.11991279069767442,0.34088927637314737,733.1159309959999,17.04920769758139
Transformer,0.725,0.19545454545454546,0.1065891472868217,0.3086312118570183,688.2258505852501,16.005252339191863
Transformer,0.75,0.17098445595854922,0.0935077519379845,0.27898866608544026,635.7850886087501,14.785699735087212
Transformer,0.775,0.14759036144578314,0.08042635658914729,0.24673060156931126,568.5579207229999,13.222277226116278
Transformer,0.8,0.12142857142857143,0.06782945736434108,0.21447253705318223,501.80232030950003,11.669821402546512
Transformer,0.825,0.07109004739336493,0.05111434108527132,0.17088055797733218,418.93594292250003,9.742696347034885
Transformer,0.85,0.058823529411764705,0.024709302325581394,0.08369659982563209,292.2875881835,6.797385771709303
Transformer,0.875,0.07692307692307693,0.012596899224806201,0.041848299912816043,180.86520979525,4.206167669656977
Transformer,0.9,0.0967741935483871,0.0075096899224806205,0.024411508282476024,97.43921710375,2.266028304738372
Transformer,0.925,0.07142857142857142,0.003391472868217054,0.011333914559721011,23.576739034750002,0.548296256622093
Transformer,0.95,0.0,0.0,0.0,0.0,0.0
DLinear,0.05,0.7190102890739833,0.9888565891472868,1.0,2296.604158712,53.40939903981395
DLinear,0.075,0.7133216695826043,0.969234496124031,1.0,2296.604158712,53.40939903981395
DLinear,0.1,0.7119071644803229,0.9602713178294574,0.995640802092415,2276.6179467247503,52.94460341220349
DLinear,0.125,0.7095625635808749,0.9525193798449613,0.995640802092415,2276.6179467247503,52.94460341220349
DLinear,0.15,0.7064574221764858,0.9416182170542635,0.994768962510898,2270.85628005725,52.81061116412209
DLinear,0.175,0.7038001041124414,0.9307170542635659,0.992153443766347,2266.37792479475,52.70646336731977
DLinear,0.2,0.7020773073889035,0.9212693798449613,0.987794245858762,2248.775253224,52.29709891218605
DLinear,0.225,0.6987854251012146,0.8975290697674418,0.972972972972973,2184.01161500325,50.79096779077326
DLinear,0.25,0.6940133037694013,0.874031007751938,0.962510897994769,2154.1510231497496,50.0965354220872
DLinear,0.275,0.6858718970272755,0.7904554263565892,0.8936355710549259,2057.14069263275,47.84048122401744
DLinear,0.3,0.6736486486486486,0.7170542635658915,0.8421970357454228,1919.4153941882498,44.63756730670348
DLinear,0.325,0.6468269609775326,0.6145833333333334,0.7811682650392328,1784.569913881,41.501625904209305
DLinear,0.35,0.572938689217759,0.4583333333333333,0.7044463818657367,1628.4537790312497,37.87101811700581
DLinear,0.375,0.5045454545454545,0.37306201550387597,0.6652136006974717,1568.00956411475,36.465338700343025
DLinear,0.4,0.4587289992695398,0.3316375968992248,0.6460331299040977,1526.89461528575,35.509177099668605
DLinear,0.425,0.4382716049382716,0.313953488372093,0.6346992153443767,1514.6384551547499,35.224150119877905
DLinear,0.45,0.4322373696872494,0.3020833333333333,0.6172624237140366,1485.5071101272501,34.54667697970349
DLinear,0.475,0.41994970662196146,0.28900193798449614,0.6033129904097646,1456.0750642565,33.86221079666279
DLinear,0.5,0.4194107452339688,0.27955426356589147,0.5841325196163906,1439.01345077925,33.46542908788953
