test_occupancy_conflict_rate,model,threshold,recommendation_rate,empty_recall,safe_shiftable_load_kwh,kwh_per_day,pareto_frontier
0.1975435005117707,LightGBM,0.6,0.2366763565891473,0.6835222319093287,1615.07955166175,37.559989573529066,True
0.211,LightGBM,0.575,0.2422480620155038,0.6878814298169137,1615.49094055075,37.56955675699419,True
0.2202898550724637,LightGBM,0.55,0.2507267441860465,0.7035745422842197,1631.8374127735,37.949707273802325,True
0.2348555452003727,LightGBM,0.525,0.2599321705426357,0.7157802964254577,1656.7502197935,38.52907487891861,True
0.23710407239819,LightGBM,0.5,0.2676841085271317,0.7349607672188317,1682.81627654175,39.13526224515698,True
0.2417962003454231,LightGBM,0.45,0.2805232558139535,0.7654751525719268,1747.66480148575,40.64336747641279,True
0.2491694352159468,LightGBM,0.425,0.2916666666666667,0.7881429816913688,1801.2275813815,41.8890135205,True
0.2608346709470305,LightGBM,0.4,0.3018410852713178,0.8029642545771578,1825.94949701725,42.46394179109884,True
0.2713725490196078,LightGBM,0.375,0.3088662790697674,0.8099389712292938,1853.43875195575,43.10322678966861,True
0.2785493827160494,LightGBM,0.35,0.313953488372093,0.8151700087183958,1867.0583630675,43.41996193180233,True
0.2881736526946107,LightGBM,0.325,0.3236434108527132,0.8291194420226679,1889.250051663,43.93604771309302,True
0.2972181551976574,LightGBM,0.3,0.3309108527131782,0.8369659982563208,1899.471092514,44.17374633753488,True
0.3229166666666667,LightGBM,0.275,0.3488372093023256,0.8500435919790759,1923.780911115,44.73909095616279,True
0.3395225464190981,LightGBM,0.25,0.3653100775193798,0.8683522231909329,1979.2372645047496,46.02877359313372,True
0.3533882203926535,LightGBM,0.225,0.3825096899224806,0.8901482127288579,2021.5382137595,47.01251659905813,True
0.3667692307692308,LightGBM,0.2,0.3936531007751938,0.8971229293809939,2031.8919111277496,47.25330025878488,True
0.3851113716295428,LightGBM,0.175,0.4132751937984496,0.914559721011334,2083.403927761,48.45125413397675,True
0.4037057832678271,LightGBM,0.15,0.4314437984496124,0.925893635571055,2124.66366460175,49.41078289771512,True
0.4375324002073613,LightGBM,0.125,0.467296511627907,0.945945945945946,2189.7703903397496,50.924892798598826,True
0.4716890595009597,LightGBM,0.1,0.5048449612403101,0.959895379250218,2212.46943858525,51.45277764151744,True
0.5094422485726834,LightGBM,0.075,0.5515988372093024,0.97384481255449,2237.81277170275,52.042157481459306,True
0.5401968826907301,LightGBM,0.05,0.5906007751937985,0.977332170880558,2244.17467959775,52.19010882785465,True
0.0,Random forest,0.95,0.0125968992248062,0.045335658238884,113.578557108,2.6413617932093025,True
0.0481481481481481,Random forest,0.9,0.065406976744186,0.2240627724498692,541.93211836875,12.603072520203488,True
0.0516717325227963,Random forest,0.875,0.0796996124031007,0.2720139494333042,636.5118249620001,14.80260058051163,True
0.0697674418604651,Random forest,0.85,0.09375,0.3138622493461203,705.616376584,16.409683176372095,True
0.1161290322580645,Random forest,0.825,0.1126453488372093,0.3583260680034874,838.13926282125,19.49161076328488,True
0.1355060034305317,Random forest,0.8,0.1412306201550387,0.4394071490845684,980.04009646325,22.79163015030814,True
0.162826420890937,Random forest,0.775,0.157703488372093,0.4751525719267654,1028.9088683915002,23.92811321840698,True
0.1767180925666199,Random forest,0.75,0.1727228682170542,0.5117698343504795,1122.8116224720002,26.11189819702326,True
0.2020330368487929,Random forest,0.725,0.1906492248062015,0.5475152571926766,1235.90416309125,28.74195728119186,True
0.2305084745762712,Random forest,0.7,0.2143895348837209,0.5937227550130776,1366.8803532082502,31.78791519088954,True
0.2397408207343412,Random forest,0.675,0.2243217054263566,0.6137750653879687,1436.5211257894998,33.40746804161628,True
0.2484407484407484,Random forest,0.65,0.2330426356589147,0.6303400174367916,1468.43264307625,34.14959635061046,True
0.2485089463220676,Random forest,0.625,0.2437015503875969,0.6591107236268526,1504.34574262125,34.98478471212209,True
0.2548197820620285,Random forest,0.525,0.2890019379844961,0.7750653879686138,1703.41723731725,39.61435435621512,True
0.2603406326034063,Random forest,0.5,0.2986918604651162,0.7951176983435048,1780.19191344175,41.39981194050581,True
0.2617960426179604,Random forest,0.45,0.3183139534883721,0.8456843940714909,1915.3275285977495,44.54250066506395,True
0.2652141247182569,Random forest,0.425,0.3224321705426357,0.8526591107236269,1932.74307813475,44.947513444994186,True
0.2805232558139535,Random forest,0.4,0.3333333333333333,0.8631211857018308,1953.551731644,45.43143561962791,True
0.2888573456352022,Random forest,0.375,0.3413275193798449,0.8735832606800349,1961.06839831075,45.60624182118024,True
0.299039780521262,Random forest,0.35,0.3531976744186046,0.8910200523103748,1976.4191293055,45.963235565244176,True
0.3185088293001962,Random forest,0.325,0.3703972868217054,0.9084568439407148,2023.21515500625,47.05151523270349,True
0.3477466504263093,Random forest,0.3,0.3977713178294573,0.933740191804708,2051.81959579675,47.71673478597093,True
0.3729106628242075,Random forest,0.275,0.4203003875968992,0.948561464690497,2070.931693802,48.161202181441865,True
0.4095544820182501,Random forest,0.25,0.4513081395348837,0.9590235396687008,2121.93443105275,49.34731235006395,True
0.4311500773594636,Random forest,0.225,0.469718992248062,0.961639058413252,2127.68042520425,49.48094012102906,True
0.4561576354679802,Random forest,0.175,0.4917635658914728,0.962510897994769,2128.8631632995,49.508445658127904,True
0.4739583333333333,Random forest,0.15,0.5116279069767442,0.968613775065388,2168.981584352,50.44143219423256,True
0.513986013986014,Random forest,0.125,0.5542635658914729,0.969485614646905,2174.562176457,50.57121340597675,True
0.5563018569735283,Random forest,0.1,0.6131298449612403,0.979075850043592,2200.62701490875,51.17737243973837,True
0.6046105483758295,Random forest,0.075,0.6935562015503876,0.986922406277245,2214.79408800875,51.50683925601744,True
0.6408163265306123,Random forest,0.05,0.7715600775193798,0.997384481255449,2281.08697565125,53.04853431747094,True
0.0,Transformer,0.95,0.0,0.0,0.0,0.0,True
0.0588235294117647,Transformer,0.85,0.0247093023255813,0.083696599825632,292.2875881835,6.797385771709303,True
0.0710900473933649,Transformer,0.825,0.0511143410852713,0.1708805579773321,418.9359429225,9.742696347034885,True
0.1214285714285714,Transformer,0.8,0.067829457364341,0.2144725370531822,501.8023203095,11.669821402546512,True
0.1475903614457831,Transformer,0.775,0.0804263565891472,0.2467306015693112,568.5579207229999,13.222277226116278,True
0.1709844559585492,Transformer,0.75,0.0935077519379845,0.2789886660854402,635.7850886087501,14.785699735087212,True
0.1954545454545454,Transformer,0.725,0.1065891472868217,0.3086312118570183,688.2258505852501,16.005252339191863,True
0.2101010101010101,Transformer,0.7,0.1199127906976744,0.3408892763731473,733.1159309959999,17.04920769758139,True
0.2232472324723247,Transformer,0.675,0.1312984496124031,0.3670444638186573,771.255405595,17.936172223139533,True
0.2294520547945205,Transformer,0.65,0.1414728682170542,0.3923278116826504,798.8088202517499,18.576949308180232,True
0.2318840579710145,Transformer,0.625,0.1504360465116279,0.4158674803836094,844.9521872135,19.65005086543023,True
0.2321981424148606,Transformer,0.6,0.1564922480620155,0.4324324324324324,867.186088605,20.167118339651164,True
0.238095238095238,Transformer,0.575,0.1678779069767441,0.4603312990409764,916.795320922,21.3208214167907,True
0.2613784135240572,Transformer,0.55,0.1862887596899224,0.4952048823016565,964.3891084175,22.427653684127907,True
0.2715617715617716,Transformer,0.525,0.2078488372093023,0.5448997384481256,1042.34404248575,24.24055912757558,True
0.2817796610169492,Transformer,0.5,0.2286821705426356,0.5911072362685266,1165.57576264125,27.10641308468023,True
0.2972195589645254,Transformer,0.475,0.2526647286821705,0.6390584132519617,1283.0770891365,29.839002072941863,True
0.3068181818181818,Transformer,0.45,0.2771317829457364,0.6913687881429816,1411.0173432255,32.81435681919768,True
0.3160493827160494,Transformer,0.425,0.2943313953488372,0.7244986922406277,1500.62325611725,34.898215258540695,True
0.322706065318818,Transformer,0.4,0.311531007751938,0.7593722755013078,1610.3072977534998,37.4490069245,True
0.3328424153166421,Transformer,0.375,0.3289728682170542,0.7898866608544028,1699.577501661,39.5250581781628,True
0.3433356594556874,Transformer,0.35,0.347141472868217,0.8204010462074979,1797.93460843,41.81243275418605,True
0.356953642384106,Transformer,0.325,0.3657945736434108,0.8465562336530078,1895.9888691775,44.092764399476735,True
0.3727848101265822,Transformer,0.3,0.3827519379844961,0.8639930252833479,1947.1649104875,45.28290489505814,True
0.3878896882494004,Transformer,0.275,0.4040697674418604,0.8901482127288579,2007.03940623225,46.675335028656974,True
0.4085297418630751,Transformer,0.25,0.4316860465116279,0.918918918918919,2085.2818866625003,48.494927596802334,True
0.4230565838180857,Transformer,0.225,0.4580910852713178,0.951176983435048,2139.5394037002497,49.75673031861046,True
0.4457953394123607,Transformer,0.2,0.4781976744186046,0.953792502179599,2149.774381771,49.994753064441866,True
0.4589276930644368,Transformer,0.175,0.4924903100775193,0.9590235396687008,2169.94565370175,50.46385241166861,True
0.4681774349083896,Transformer,0.15,0.502422480620155,0.961639058413252,2184.88063736175,50.811177613063954,True
0.4810126582278481,Transformer,0.125,0.5167151162790697,0.96512641673932,2201.58462472,51.19964243534883,True
0.5126637554585153,Transformer,0.1,0.5547480620155039,0.972972972972973,2216.771843286,51.5528335647907,True
0.5510204081632653,Transformer,0.075,0.6053779069767442,0.978204010462075,2230.62158835125,51.874920659331394,True
0.5912855599567879,Transformer,0.05,0.6727228682170543,0.989537925021796,2250.532439831,52.337963717,True
0.1142857142857142,DLinear,0.95,0.0084786821705426,0.027027027027027,79.2219053475,1.8423698918023252,True
0.3296703296703296,DLinear,0.925,0.0220445736434108,0.053182214472537,107.1734133875,2.4924049625,True
0.3960639606396064,DLinear,0.65,0.1969476744186046,0.4280732345248474,1139.6290763112502,26.50300177468024,True
0.4040948275862069,DLinear,0.6,0.2248062015503876,0.4821272885789014,1280.986849661,29.790391852581397,True
0.4140550807217474,DLinear,0.55,0.2550872093023256,0.5379250217959896,1357.9132809174998,31.57937862598837,True
0.4147675478577939,DLinear,0.525,0.2657461240310077,0.5597210113339146,1378.411396242,32.0560789823721,True
0.4194107452339688,DLinear,0.5,0.2795542635658914,0.5841325196163906,1439.01345077925,33.46542908788953,True
0.4199497066219614,DLinear,0.475,0.2890019379844961,0.6033129904097646,1456.0750642565,33.86221079666279,True
0.4322373696872494,DLinear,0.45,0.3020833333333333,0.6172624237140366,1485.50711012725,34.54667697970349,True
0.4382716049382716,DLinear,0.425,0.313953488372093,0.6346992153443767,1514.63845515475,35.224150119877905,True
0.4587289992695398,DLinear,0.4,0.3316375968992248,0.6460331299040977,1526.89461528575,35.509177099668605,True
0.5045454545454545,DLinear,0.375,0.3730620155038759,0.6652136006974717,1568.00956411475,36.46533870034303,True
0.572938689217759,DLinear,0.35,0.4583333333333333,0.7044463818657367,1628.4537790312495,37.87101811700581,True
0.6468269609775326,DLinear,0.325,0.6145833333333334,0.7811682650392328,1784.569913881,41.501625904209305,True
0.6736486486486486,DLinear,0.3,0.7170542635658915,0.8421970357454228,1919.4153941882496,44.63756730670348,True
0.6858718970272755,DLinear,0.275,0.7904554263565892,0.8936355710549259,2057.14069263275,47.84048122401744,True
0.6940133037694013,DLinear,0.25,0.874031007751938,0.962510897994769,2154.1510231497496,50.0965354220872,True
0.6987854251012146,DLinear,0.225,0.8975290697674418,0.972972972972973,2184.01161500325,50.79096779077326,True
0.7020773073889035,DLinear,0.2,0.9212693798449612,0.987794245858762,2248.775253224,52.29709891218605,True
0.7038001041124414,DLinear,0.175,0.930717054263566,0.992153443766347,2266.37792479475,52.70646336731977,True
0.7064574221764858,DLinear,0.15,0.9416182170542636,0.994768962510898,2270.85628005725,52.81061116412209,True
0.7095625635808749,DLinear,0.125,0.9525193798449612,0.995640802092415,2276.6179467247503,52.94460341220349,True
0.7133216695826043,DLinear,0.075,0.969234496124031,1.0,2296.604158712,53.40939903981395,True
